Floor,Price,Renovation,Year,Size,Elevator,Room,Hall,Id
6,138.0,2,2006,22.0,0.0,1,1.0,101102619706
6,252.0,3,2002,56.0,0.0,1,1.0,101102608620
6,245.0,3,1989,54.0,0.0,1,1.0,101101851930
21,295.0,3,2008,48.0,1.0,1,0.0,101101442818
15,230.0,2,2009,53.0,1.0,1,0.0,101101304832
6,370.0,0,1998,118.0,0.0,3,1.0,101102394704
11,300.0,0,2006,47.0,1.0,1,0.0,101102561685
6,315.0,0,2003,120.0,0.0,3,1.0,101102448813
7,360.0,2,1996,91.0,0.0,2,2.0,101102053067
12,518.0,0,2013,139.0,1.0,3,2.0,101102327248
24,248.0,3,2008,54.0,1.0,3,1.0,101102486268
7,125.0,3,2012,38.0,1.0,1,0.0,101102506007
7,420.0,2,1998,128.0,0.0,3,2.0,101102383369
7,510.0,2,2000,145.0,0.0,3,2.0,101102622369
6,750.0,3,2001,212.0,0.0,3,2.0,101102530446
6,290.0,3,1994,87.0,0.0,3,1.0,101102240501
17,180.0,2,2010,19.0,1.0,1,1.0,101102651491
20,110.0,3,2008,30.0,1.0,1,0.0,101101971705
12,860.0,0,2005,186.0,1.0,4,1.0,101101424099
2,1500.0,3,2003,213.0,0.0,5,2.0,101102127634
24,220.0,3,2006,58.0,1.0,3,1.0,101101873115
7,235.0,3,2009,66.0,0.0,2,1.0,101102351766
6,445.0,2,2001,131.0,0.0,3,1.0,101102658462
3,1250.0,1,2013,333.0,1.0,5,2.0,101102529684
6,318.0,2,2000,123.0,0.0,3,1.0,101102589323
17,104.0,3,2014,34.0,1.0,1,0.0,101101870128
9,350.0,3,2016,86.0,1.0,4,1.0,101102305226
19,319.0,3,2014,109.0,1.0,4,1.0,101101918712
29,760.0,2,2015,141.0,1.0,3,1.0,101101556915
29,760.0,0,2015,136.0,1.0,3,2.0,101102170131
19,230.0,2,2014,93.0,1.0,3,1.0,101101870833
9,330.0,3,2016,93.0,1.0,4,1.0,101102326275
28,350.0,3,2014,140.0,1.0,4,2.0,101102580612
20,265.0,2,2014,97.0,1.0,3,1.0,101102212250
28,405.0,3,2014,157.0,1.0,4,1.0,101102346033
19,370.0,3,2014,123.0,1.0,4,1.0,101101894914
33,875.0,0,2015,153.0,1.0,4,2.0,101102402821
29,480.0,0,2015,88.0,1.0,2,1.0,101102360852
15,525.0,3,2015,116.0,1.0,3,1.0,101102550326
12,530.0,2,2007,155.0,1.0,3,2.0,101102235971
26,788.0,2,2014,169.0,1.0,4,1.0,101102605461
29,267.0,3,2014,58.0,1.0,1,1.0,101102606562
19,295.0,0,2014,123.0,1.0,4,1.0,101102598867
8,240.0,3,2014,101.0,1.0,3,2.0,101102587541
19,354.0,2,2014,84.0,1.0,2,1.0,101102626290
9,300.0,3,2016,89.0,1.0,4,1.0,101101936128
14,160.0,3,2015,43.0,1.0,3,1.0,101102027118
