Direction,District,Garden,Region,Floor,Renovation,Size,Year,Room,Elevator,Hall,Price
33,100,4292,4,16,2,123.0,2016,4,1.0,1.0,250.0
33,100,1199,4,2,1,391.0,2011,3,1.0,2.0,1000.0
33,100,1199,4,2,3,468.0,2012,5,1.0,3.0,1400.0
33,100,526,4,6,0,102.0,2007,3,0.0,1.0,210.0
33,100,2578,4,6,0,141.0,2006,3,0.0,2.0,308.0
47,100,607,4,6,3,74.0,2011,2,0.0,1.0,223.0
33,100,607,4,6,0,123.0,2011,3,0.0,2.0,320.0
33,100,4292,4,16,0,123.0,2014,3,1.0,2.0,265.0
33,100,3140,4,6,0,102.0,2009,3,0.0,2.0,240.0
33,100,2493,4,6,3,108.0,2004,3,0.0,2.0,260.0
33,100,4292,4,7,0,98.0,2016,3,1.0,2.0,230.0
33,100,2577,4,6,3,198.0,2009,6,0.0,2.0,398.0
33,108,1781,5,2,3,121.0,2007,3,0.0,2.0,320.0
39,108,4295,5,12,1,85.0,2014,2,1.0,1.0,230.0
33,108,4295,5,8,3,86.0,2014,2,1.0,1.0,238.0
30,108,4295,5,18,3,87.0,2014,2,1.0,1.0,253.0
33,108,4295,5,9,1,127.0,2014,3,1.0,1.0,390.0
30,108,4295,5,18,0,87.0,2014,2,1.0,1.0,260.0
33,108,4295,5,10,3,87.0,2014,2,1.0,2.0,236.0
33,108,4295,5,10,0,87.0,2014,2,1.0,2.0,238.0
33,108,4295,5,9,1,157.0,2014,3,1.0,2.0,445.0
39,108,3417,5,18,3,134.0,2016,3,1.0,2.0,295.0
33,108,4295,5,9,3,134.0,2014,3,1.0,2.0,365.0
33,108,4295,5,9,3,152.0,2014,3,1.0,2.0,380.0
33,108,4295,5,12,0,131.0,2015,3,1.0,1.0,310.0
33,108,4295,5,9,1,139.0,2014,3,1.0,2.0,370.0
33,108,4295,5,11,2,135.0,2014,3,1.0,2.0,340.0
33,108,2145,5,18,0,87.0,2015,2,1.0,1.0,245.0
33,108,4295,5,18,0,86.0,2014,2,1.0,1.0,265.0
33,108,4295,5,18,0,118.0,2014,3,1.0,2.0,295.0
47,108,4295,5,18,3,67.0,2014,1,1.0,1.0,210.0
30,108,4295,5,18,0,85.0,2014,2,1.0,1.0,235.0
33,108,2145,5,17,0,101.0,2015,2,1.0,2.0,275.0
11,108,2145,5,17,3,102.0,2015,2,1.0,2.0,285.0
33,108,4295,5,15,1,337.0,2014,3,1.0,2.0,780.0
33,108,4295,5,18,0,117.0,2014,3,1.0,2.0,330.0
33,108,3251,5,17,3,107.0,2016,3,1.0,2.0,305.0
33,108,4295,5,18,1,136.0,2014,3,1.0,2.0,338.0
33,108,4295,5,9,1,151.0,2014,3,1.0,1.0,350.0
33,108,2145,5,18,0,125.0,2016,3,1.0,2.0,328.0
33,108,4295,5,11,2,88.0,2014,2,1.0,2.0,260.0
33,207,2853,14,4,3,170.0,2006,3,0.0,1.0,596.0
33,80,2212,14,6,2,65.0,1992,2,0.0,1.0,252.0
33,146,3089,14,16,3,118.0,2005,3,1.0,1.0,534.6
50,207,343,14,25,2,86.0,2015,3,1.0,1.0,260.0
8,76,1191,14,6,0,88.0,1993,2,0.0,1.0,340.0
30,80,2052,14,15,2,53.0,2010,1,1.0,0.0,228.0
33,80,3691,14,7,3,141.0,2015,3,1.0,2.0,776.0
30,146,4137,14,6,2,62.0,1988,2,0.0,1.0,238.0
0,76,2204,14,6,0,66.0,1994,2,0.0,1.0,229.0
33,80,2209,14,6,3,83.0,1995,2,0.0,1.0,310.0
30,146,3089,14,16,2,66.0,2002,1,1.0,1.0,278.0
33,76,3312,14,4,0,195.0,2006,4,0.0,2.0,799.0
20,76,1356,14,6,2,74.0,2007,2,0.0,1.0,262.0
33,80,2212,14,6,2,49.0,1992,2,0.0,1.0,215.0
30,80,2206,14,6,2,64.0,1995,2,0.0,1.0,260.0
33,207,2579,14,8,1,171.0,2016,3,1.0,2.0,850.0
33,38,732,14,6,2,103.0,2002,2,0.0,2.0,430.0
33,80,2212,14,6,2,66.0,1993,2,0.0,1.0,298.0
33,80,2212,14,6,2,49.0,1992,2,0.0,1.0,200.0
33,207,2053,14,6,0,89.0,2010,2,0.0,1.0,311.0
33,76,3312,14,6,3,170.0,2006,3,0.0,2.0,620.0
33,207,1009,14,4,2,39.0,1958,2,0.0,0.0,155.0
33,207,2579,14,6,0,135.0,2016,3,1.0,1.0,649.0
33,80,1371,14,6,2,79.0,1993,2,0.0,1.0,248.0
30,146,1200,14,14,3,66.0,2007,1,1.0,1.0,279.0
30,207,2546,14,24,2,83.0,2013,2,1.0,1.0,380.0
30,80,3988,14,21,3,92.0,2015,2,1.0,1.0,398.0
33,80,3988,14,19,1,220.0,2015,4,1.0,2.0,945.0
33,80,3691,14,8,3,139.0,2015,3,1.0,2.0,750.0
33,38,412,14,23,0,92.0,2012,2,1.0,1.0,442.0
39,146,1200,14,6,3,100.0,2007,2,0.0,1.0,420.0
30,80,4437,14,7,2,41.0,1994,1,0.0,1.0,178.0
30,38,412,14,26,0,88.0,2012,2,1.0,1.0,440.0
33,76,1357,14,6,2,72.0,2005,2,0.0,1.0,240.0
0,80,2211,14,24,2,109.0,2003,2,1.0,1.0,436.0
33,207,2853,14,4,1,171.0,2006,2,0.0,1.0,600.0
33,38,956,14,3,3,656.0,2013,5,1.0,4.0,2900.0
39,146,621,14,14,3,82.0,2004,1,1.0,1.0,320.0
33,80,1782,14,6,0,96.0,1997,2,0.0,1.0,320.0
33,38,2782,14,10,3,127.0,2014,4,1.0,2.0,900.0
33,76,4140,14,7,0,139.0,2004,3,0.0,2.0,515.0
33,38,412,14,9,3,129.0,2012,3,1.0,1.0,580.0
33,207,2053,14,6,0,89.0,2010,2,0.0,1.0,283.0
33,76,1354,14,6,3,61.0,1980,3,0.0,1.0,200.0
33,76,3312,14,6,3,133.0,2006,4,0.0,2.0,480.0
33,207,2579,14,5,1,236.0,2016,4,1.0,1.0,1300.0
33,38,956,14,5,3,541.0,2013,4,1.0,3.0,2200.0
20,80,4438,14,6,3,88.0,1996,2,0.0,1.0,268.0
33,146,1989,14,7,2,93.0,1999,2,0.0,1.0,310.0
33,76,1195,14,5,2,65.0,1970,3,0.0,1.0,265.0
30,80,2052,14,6,0,48.0,2009,1,0.0,0.0,193.0
27,80,2211,14,24,2,82.0,2003,1,1.0,1.0,310.0
33,80,2212,14,6,2,63.0,1992,2,0.0,1.0,239.0
20,38,2782,14,6,0,117.0,2014,3,1.0,1.0,560.0
33,80,3692,14,9,3,140.0,2015,3,1.0,1.0,730.0
33,80,2212,14,6,3,66.0,1992,2,0.0,1.0,223.0
33,76,3312,14,6,3,101.0,2003,2,0.0,2.0,390.0
33,80,3691,14,7,1,140.0,2015,3,1.0,2.0,950.0
30,207,2544,14,24,3,83.0,2013,2,1.0,1.0,386.0
33,207,389,14,6,0,89.0,2003,2,0.0,1.0,320.0
30,80,2052,14,6,2,47.0,2009,1,0.0,0.0,200.0
33,146,2079,14,6,2,102.0,2001,3,0.0,1.0,390.0
33,80,2209,14,6,0,104.0,1995,3,0.0,1.0,385.0
33,38,412,14,26,0,91.0,2012,2,1.0,1.0,440.0
33,207,3149,14,4,3,76.0,2007,2,0.0,1.0,280.0
33,38,412,14,26,3,92.0,2012,2,1.0,1.0,425.0
33,38,412,14,26,3,91.0,2012,2,1.0,1.0,430.0
33,76,2538,14,6,2,56.0,1982,2,0.0,1.0,238.0
30,80,3988,14,21,1,92.0,2015,2,1.0,1.0,406.0
33,80,3988,14,21,3,140.0,2015,3,1.0,2.0,603.0
6,38,2769,14,20,3,99.0,2011,2,1.0,1.0,489.0
33,38,2782,14,10,3,211.0,2012,4,1.0,2.0,1100.0
30,38,412,14,26,3,88.0,2012,2,1.0,1.0,410.0
33,146,2079,14,6,2,112.0,2000,3,0.0,1.0,400.0
20,76,4140,14,7,3,145.0,2004,4,0.0,1.0,528.0
33,38,2782,14,10,3,128.0,2014,3,1.0,1.0,660.0
30,146,3089,14,6,0,169.0,2005,3,0.0,2.0,715.0
30,38,412,14,23,3,87.0,2012,2,1.0,1.0,390.0
20,76,4472,14,6,0,86.0,1996,2,0.0,1.0,340.0
30,38,412,14,23,3,87.0,2012,2,1.0,1.0,417.0
50,38,2769,14,20,2,103.0,2011,2,1.0,1.0,505.0
33,76,2538,14,6,0,64.0,1992,3,0.0,1.0,245.0
8,38,731,14,6,0,97.0,1997,3,0.0,1.0,360.0
